category,group,slug,match_id,title,description,analysis_profile
Weapon controls,weapons,05-ar-stalker-rifle,9ea11b0a-dddc-4061-a7f7-ac22fa62a05b,AR & Stalker Rifle,Switch from Assault Rifle to Stalker Rifle at 0:20 remaining and fire the Stalker shortly afterward; switch back to Assault Rifle at 0:10 remaining and fire several bullets (reported by recorder),decoded
Octagon controls,octagon,01-idle,10cb8ac3-f0c7-4d71-ae4a-103e4fa5d2b8,Two players idle,Nuzzles and Yet stand still facing each other for the whole game,octagon
Octagon controls,octagon,02-ar-kill,2b4e00fe-69c9-452e-b1b2-df3a9a0a6b3a,AR kill,Nuzzles stands still and kills Yet with an assault rifle starting around 0:55 remaining,octagon
Ranked Arena gameplay,bandit,01-evo,ec02ed9d-346e-4eb0-a491-77e6b557847c,Bandit EVO Arena,"Eight-player Ranked Arena with Bandit EVO starts, movement, and respawns",bandit
Ranked Arena gameplay,ranked-arena,02-oddball,4031c1db-2fd5-4a2a-91a1-bed5d0ad3e73,Oddball,Ranked Arena Oddball gameplay,oddball
Map controls,maps,01-bazaar-idle,79bce30e-0d61-4c57-93dd-92d61124e80c,Bazaar idle,Idle on Bazaar with movement and other actions near the end (confirmed by recorder); one-minute natural-end experiment; checks coordinate encoding independently of gameplay category,decoded
Map controls,maps,02-aquarius,16d67b8c-09c2-4ab8-8b94-892f7edb6212,Aquarius,Stayed still throughout on Aquarius (confirmed by recorder); 13/12/11-bit coordinates corroborated by map bounds; recorded idle spawn and no position updates,decoded
Octagon gameplay,octagon,03-first-to-50,9a875c4e-03bc-4fff-a688-e21216d1618b,Octagon · First to 50,Full Octagon gameplay; first to 50 kills; Bandit EVO starts with sniper switches; bottomless magazine and no reloads (confirmed by recorder); Nuzzles toggles crouch during jumps (confirmed by recorder),decoded
Armor customization controls,appearance,01-cadet-blue,5156fc6f-47da-4e7b-b54a-857e8d3a3128,Cadet Blue,Nuzzles idle on High Ground; Mark VII core; no kit; Cadet Blue coating; Cavallino helmet; Arcadian Green visor; no chest or shoulders; Capaxx gloves; no wrist or utility; UA/Typse SA knee pads; no emblem; emblem palette N/A; no armor effect or mythic effect set (reported by recorder),decoded
Armor customization controls,appearance,02-cadet-brick,cc336817-2d7a-431a-b704-fe782013943b,Cadet Brick,Nuzzles idle on High Ground; Mark VII core; no kit; Cadet Brick coating; Cavallino helmet; Arcadian Green visor; no chest or shoulders; Capaxx gloves; no wrist or utility; UA/Typse SA knee pads; no emblem; emblem palette N/A; no armor effect or mythic effect set (reported by recorder),decoded
Posture controls,posture,01-crouch-slide,ff4eb2e4-a2ba-4b95-a892-d8a413ac3a32,Crouch & slide,One-minute crouch/slide control: reported crouch at 0:55 remaining for 1 second; crouch at 0:50 for 5 seconds; sprint forward and slide at 0:40. Recorded crouch-input windows match the sequence; physical slide state remains unresolved.,decoded
Raid gameplay,raids,01-hour-long-raid,9d644d09-38c3-429a-bf3d-de0ea577815f,Raid · 1 hour,Hour-long raid gameplay (reported by recorder),decoded
